[ 29, 42 ]
[ 12, 57 ]
[ 18, 32 ]
[ 7, 56 ]
[ 13, 64 ]
[ 4, 84 ]
[ 43, 67 ]
[ 0, 84 ]
[ 50, 67 ]
[ 6, 99 ]
[ 8, 46 ]
[ 48, 77 ]
[ 38, 78 ]
[ 76, 86 ]
[ 66, 68 ]
[ 54, 61 ]
[ 23, 86 ]
[ 36, 41 ]
[ 72, 84 ]
[ 59, 80 ]
[ 4, 25 ]
[ 37, 39 ]
[ 41, 83 ]
[ 46, 51 ]
[ 42, 89 ]
[ 15, 83 ]
[ 63, 74 ]
[ 34, 44 ]
[ 37, 45 ]
[ 47, 48 ]
[ 26, 48 ]
[ 9, 87 ]
[ 4, 48 ]
[ 6, 52 ]
[ 2, 90 ]
[ 24, 73 ]
[ 33, 86 ]
[ 16, 82 ]
[ 47, 49 ]
[ 39, 60 ]
[ 47, 92 ]
[ 8, 59 ]
[ 49, 67 ]
[ 81, 88 ]
[ 25, 62 ]
[ 39, 86 ]
[ 15, 94 ]
[ 26, 49 ]
[ 52, 56 ]
[ 2, 30 ]
[ 63, 88 ]
[ 20, 60 ]
[ 40, 45 ]
[ 82, 85 ]
[ 27, 48 ]
[ 33, 97 ]
[ 46, 81 ]
[ 62, 70 ]
[ 57, 64 ]
[ 33, 59 ]
[ 10, 34 ]
[ 52, 66 ]
[ 90, 97 ]
[ 8, 30 ]
[ 3, 9 ]
[ 49, 97 ]
[ 51, 96 ]
[ 5, 30 ]
[ 61, 74 ]
[ 36, 85 ]
[ 81, 96 ]
[ 6, 84 ]
[ 17, 58 ]
[ 53, 97 ]
[ 25, 95 ]
[ 69, 74 ]
[ 21, 70 ]
[ 13, 56 ]
[ 17, 60 ]
[ 4, 70 ]
[ 6, 75 ]
[ 19, 53 ]
[ 39, 85 ]
[ 0, 83 ]
[ 50, 79 ]
[ 19, 61 ]
[ 68, 87 ]
[ 21, 56 ]
[ 50, 82 ]
[ 2, 47 ]
[ 39, 95 ]
[ 0, 27 ]
[ 1, 13 ]
[ 50, 93 ]
[ 18, 67 ]
[ 0, 89 ]
[ 20, 30 ]
[ 54, 81 ]
[ 89, 96 ]
[ 70, 85 ]
